model,img_idx,true_class,group,hook,delta_l2,act_diff_sq
VanillaLensPINN,27,0,r180,H11_inv_lens,12.311932563781738,369.1216993331909
VanillaLensPINN,27,0,r180,H12_HANDOFF,1.7202993631362915,719.926513671875
VanillaLensPINN,27,0,r180,H13_eff3,1.7202993631362915,790067.8125
VanillaLensPINN,27,0,r180,H13b_eff4,1.7202993631362915,234430.9375
VanillaLensPINN,27,0,r180,H14_eff5,1.7202993631362915,256790.5
VanillaLensPINN,27,0,r180,H14b_eff6,1.7202993631362915,63730.5078125
VanillaLensPINN,27,0,r180,H15_before_gap,1.7202993631362915,2790.7236328125
VanillaLensPINN,27,0,r180,H16_after_gap,1.7202993631362915,8.568675994873047
VanillaLensPINN,27,0,r180,H17_pre_linear,1.7202993631362915,8.568675994873047
VanillaLensPINN,27,0,r270,H00_preprocess,0.738923192024231,644.0969848632812
VanillaLensPINN,27,0,r270,H01_enc1,0.738923192024231,189660.671875
VanillaLensPINN,27,0,r270,H02_enc2,12.770057678222656,142542.4375
VanillaLensPINN,27,0,r270,H03_enc3,1.7028671503067017,104598.171875
VanillaLensPINN,27,0,r270,H04_bot,1.7997554540634155,3322038.5
VanillaLensPINN,27,0,r270,H08_kappa_out,0.738923192024231,12.147275924682617
VanillaLensPINN,27,0,r270,H09_poisson,2.587913751602173,311174.8125
VanillaLensPINN,27,0,r270,H10_deflection,2.587913751602173,793.0384521484375
VanillaLensPINN,27,0,r270,H11_inv_lens,13.220617294311523,312.90376567840576
VanillaLensPINN,27,0,r270,H12_HANDOFF,4.414275169372559,614.34033203125
VanillaLensPINN,27,0,r270,H13_eff3,4.414275169372559,761118.3125
VanillaLensPINN,27,0,r270,H13b_eff4,4.414275169372559,225381.3125
VanillaLensPINN,27,0,r270,H14_eff5,4.414275169372559,272827.28125
VanillaLensPINN,27,0,r270,H14b_eff6,4.414275169372559,94204.28125
VanillaLensPINN,27,0,r270,H15_before_gap,4.414275169372559,2956.198974609375
VanillaLensPINN,27,0,r270,H16_after_gap,4.414275169372559,25.57310676574707
